title_kaggle,imdb_id,poster_path,wiki_link,original_title,is_adult,runtime,genres,imdb_rating,imdb_votes,story_kaggle,summary_kaggle,tagline_kaggle,actors,wins_nominations,release_date,year_of_release_int,clean_original_title,clean_title_kaggle,lifetime_collection_matched
Aiyyaa,tt2255934,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Aiyyaa_poster.jpg/220px-Aiyyaa_poster.jpg,https://en.wikipedia.org/wiki/Aiyyaa,Aiyyaa,0,152,Comedy|Romance,4.3,1571.0,Wildly imaginative and film-obsessed  Meenakshi Deshpande has an extra sensitive nose. After she is hired to work in a local college's library  she catches a wonderful scent in the air. The source is Surya  a handsome and enigmatic art student from a Tamil family. Meanwhile  Meenakshi's eccentric Marathi family has arranged for her marriage to Madhav  a kind and sensible man. Meenakshi is torn between marrying her parents' choice for a seemingly ideal husband  or following her nose and chasing the hunky stranger who may or may not be all that he seems.,A woman goes on the hunt for her dream man  armed with her wild imagination  her passion for Masala-films  and her ultra-sensitive sense of smell.,Go wakda (Go crooked/wacky),Rani Mukerji|Prithviraj Sukumaran|Nirmiti Sawant|Subodh Bhave|Jyoti Subhash|Satish Alekar|Anita Date|Amey Wagh|Kishori Ballal|Thamizh|Shubhangi Damle|Umesh Kulkarni|Suraj Satav|Prashant Tapaswi|,4 nominations,12 October 2012 (India),2012,aiyyaa,aiyyaa,6.63 Cr
Arjun Patiala,tt7881524,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Arjun_Patiala_poster.jpg/220px-Arjun_Patiala_poster.jpg,https://en.wikipedia.org/wiki/Arjun_Patiala,Arjun Patiala,0,107,Action|Comedy,4.1,676.0,"Arjun Patiala(Diljit Dosanjh)has recently been initiated into the police service. A man who has spend most of his early life disciplining himself in Judo and getting into the forces now decides its time to take it easy. He's introduced to his loyal ""chita munshi"" who soon turns into a confidant- Onida Singh. ( Varun Sharma) We quickly realise Arjun Patiala's quirks - That he is fond of women  and even fonder of his drink. But his quirky  original and unusual ideas help him reduce the crime rate in the city without even moving a finger. Along the way Arjun falls in love with a firebrand news reporter - Ritu Randhawa (Kriti Sanon) who might pull the curtain on his deeds. A laugh riot film  Arjun Patiala will leave you in splits.These unforgettable characters are definitely here to stay.",This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together  will they be able to accomplish their mission of a crime-free town with their goofy style of policing?,,Diljit Dosanjh|Kriti Sanon|Varun Sharma|Ronit Roy|Seema Bhargava|Mohammed Zeeshan Ayyub|Amit Mehra|,,26 July 2019 (USA),2019,arjun patiala,arjun patiala,6.62 Cr
2 States (2014 film),tt2372678,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/2_States_poster.jpg/220px-2_States_poster.jpg,https://en.wikipedia.org/wiki/2_States_(2014_film),2 States,0,149,Comedy|Drama|Romance,6.9,22060.0,A story about a romantic journey of a culturally opposite couple - Krish Malhotra and Ananya Swaminathan. They meet at the IIM-Ahmedabad College and during the program they fall in love. Complications arise after the program comes to an end and they decide to get married. Krish and Ananya belong to two different states of India. Krish  a North Indian Punjabi boy from Delhi  and Ananya  a Tamilian Brahmin from Chennai. They take a conscious decision; they won't get married until their parents agree. Everything goes downhill when the parents meet. There is a cultural clash and the parents oppose the wedding. To convert their love story into a love marriage  the couple faces a tough battle in front of them. For it is easy to fight and rebel  but much harder to convince. Will Krish and Ananya's love for each other sustain the battles? Will they manage to convince their parents and make it to their wedding?,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,,Arjun Kapoor|Alia Bhatt|Amrita Singh|Revathy|Ronit Roy|Shivkumar Subramaniam|Sharang Natarajan|,6 wins & 22 nominations,18 April 2014 (India),2014,2 states,2 states,102.13 Cr
Zila Ghaziabad,tt2171454,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Zilla_Ghaziabad.jpg/220px-Zilla_Ghaziabad.jpg,https://en.wikipedia.org/wiki/Zilla_Ghaziabad,Zila Ghaziabad,0,142,Action|Crime|Thriller,3.5,1187.0,In the city of Ghaziabad  gang war breaks between two rival groups led by Satbir Singh and Fauji. Thakur Pritam Singh  a corrupt police officer  is transferred to the city to handle the situation.,In the city of Ghaziabad  gang war breaks between two rival groups led by Satbir Singh and Fauji. Thakur Pritam Singh  a corrupt police officer  is transferred to the city to handle the situation.,,Vivek Oberoi|Sanjay Dutt|Arshad Warsi|Paresh Rawal|Ravi Kishan|Ashutosh Rana|Minissha Lamba|Divya Dutta|Sunil Grover|Charmy Kaur|Ashutosh Kaushik|Eijaz Khan|Anil Nagrath|Shriya Saran|,,22 February 2013 (India),2013,zila ghaziabad,zila ghaziabad,16 Cr
Ek Paheli Leela,tt4500734,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Ek_Paheli_Leela_%282015%29_Film_Poster.jpeg/220px-Ek_Paheli_Leela_%282015%29_Film_Poster.jpeg,https://en.wikipedia.org/wiki/Ek_Paheli_Leela,Ek Paheli Leela,0,145,Mystery|Romance|Thriller,3.7,1578.0,It is a reincarnation story about the love between Leela and her lover  which is left incomplete because one of them has been murdered. The story comes to circle after 300 long years; when Leela has taken birth as Meera and her lover's character is also reborn.,Two lovers  having been denied true love 300 years ago  are reincarnated in order to correct that wrong.,,Sunny Leone|Rahul Dev|Mohit Ahlawat|Jay Bhanushali|Jas Arora|Shivani Tanksale|Anand Vijay Kumar|Ehsaan Qureshi|Nausheen Ahmed|Girish Thappar|Daniel Weber|Kulvinder Bakshish|C. Jay Munshi|Siddharth Singh|,1 nomination,10 April 2015 (India),2015,ek paheli leela,ek paheli leela,26.57 Cr
Brahman Naman,tt5240748,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Brahman_Naman_poster.jpg/220px-Brahman_Naman_poster.jpg,https://en.wikipedia.org/wiki/Brahman_Naman,Brahman Naman,0,95,Comedy,5.6,1575.0,A champion college quizzing team try to win the all-India finals and lose their virginities.,A champion college quizzing team try to win the all-India finals and lose their virginities.,,Shashank Arora|Tanmay Dhanania|Chaitanya Varad|Vaishwath Shankar|Sindhu Sreenivasa Murthy|Subholina Sen|Anula Navlekar|Sid Mallya|Denzil Smith|Biswa Kalyan Rath|Shataf Figar|Kartik Iyer|Anisa Butt|Amrusha Palchaudhuri|,2 nominations,7 July 2016 (USA),2016,brahman naman,brahman naman,
Holiday: A Soldier Is Never Off Duty,tt2556308,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Holiday_-_A_Soldier_Is_Never_Off_Duty_%28poster%29.jpg/220px-Holiday_-_A_Soldier_Is_Never_Off_Duty_%28poster%29.jpg,https://en.wikipedia.org/wiki/Holiday_(2014_film),Holiday,0,160,Action|Thriller,7.2,23733.0,Virat (Akshay Kumar) is among a battalion of military officers that comes to Mumbai on vacation. Virat is also a secret Defence Intelligence Agent who cannot lie low  much to the irritation of his friend and sub inspector. During a bus ride  an attempt to frisk passengers for a lost wallet leads Virat to something much bigger. Within minutes  the bus is blown into pieces and he helps cops nab the carrier of the bomb  who escapes from the hospital only to be caught by Virat again. Using tact  Virat follows one clue at a time hoping to track down the terrorist on whose orders the sleeper cell terrorists plan to cause mayhem in Mumbai.,A military officer uses his intellect and fighting skills to hunt and knock down a terrorist aiming to rip apart Mumbai via the sleeper cells under his command.,A Soldier is never off duty.,Akshay Kumar|Sonakshi Sinha|Freddy Daruwala|Sumeet Raghvan|Zakir Hussain|Govinda|Premnath Gulati|Cherry Mardia|Apoorva Arora|Gireesh Sahedev|Rajiv Kachroo|Randheer Rai|Prayas Mann|Aartii Naagpal|,4 wins & 3 nominations,6 June 2014 (India),2014,holiday,holiday a soldier is never off duty,112.45 Cr
Sixteen (2013 Indian film),tt2976172,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Sixteen_Official_Poster%2C_2013.jpg/220px-Sixteen_Official_Poster%2C_2013.jpg,https://en.wikipedia.org/wiki/Sixteen_(2013_Indian_film),Sixteen,0,138,Drama|Romance|Thriller,6.3,1581.0,Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time  it was the age of innocence  the age of sweetness  the age when one had the first crush. But times have changed. In the times of Internet  Delhi times and page-3 and lot of TV channels  innocence is the first casualty. Sixteen is a story about lost innocence and teenage heartache in urban India.,Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time  it was the age of innocence  the age of sweetness  the age when one had the first ...,,Wamiqa Gabbi|Izabelle Leite|Mehak Manwani|Highphill Mathew|,,12 July 2013 (India),2013,sixteen,sixteen,1.44 Cr
Dum Laga Ke Haisha,tt3495030,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/DLHK_Poster.jpeg/220px-DLHK_Poster.jpeg,https://en.wikipedia.org/wiki/Dum_Laga_Ke_Haisha,Dum Laga Ke Haisha,0,110,Comedy|Drama|Romance,7.5,15706.0,It is the 1990s  the tape-cassette is dying  CDs will soon be the rage and a regular arranged marriage will turn out to be a perfect mismatch. Prem (Ayushmann Khurrana) is a shy music buff who runs a tape recording shop in Haridwar. Sandhya (Bhumi Pednekar) likes to dance to the band tunes at her own wedding. He has nightmares about drawing a blank at his English exam. She is about to carve a niche for herself as a teacher. But now  they are married and they are supposed to spend a lifetime together - and he is still trying to find balance on their scooter ride together. From overcoming his fear of the English language to dealing with an overbearing father  he discovers that his oversized wife  who he thought was a spanner in his spool  will actually lead him to something quite cool.,Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,,Ayushmann Khurrana|Bhumi Pednekar|Sanjay Mishra|Kumar Sanu|Sheeba Chaddha|Seema Bhargava|Chandrachoor Rai|Devika Vatsa|Alka Amin|Shardul Rana|Mahesh Sharma|Shrikant Verma|Swedha Singh|V.K. Sharma|,23 wins & 4 nominations,27 February 2015 (India),2015,dum laga ke haisha,dum laga ke haisha,30.19 Cr
Lootera,tt2224317,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Lootera_First_look.jpg/220px-Lootera_First_look.jpg,https://en.wikipedia.org/wiki/Lootera,Lootera,0,136,Drama|Romance,7.3,13794.0,"The year is 1953. A visiting archaeologist called Varun Shrivastav comes to the village of Manikpur in West Bengal to excavate the temple grounds of the local Zamindar. With knowledge and experience beyond his young demeanour  Varun greatly impresses the Zamindar and his family. Especially Pakhi  the Zamindar's feisty and only daughter  who finds herself irrevocably drawn towards him. But Varun isn't all he seems on the surface. And as the simmering attraction between him and Pakhi leads to a tender and deep love  he is forced to choose between her and his past. Making his choice  Varun disappears. Pakhi struggles to move on with her life  determined to forget him and their relationship. Until one day  when he returns under the most extraordinary circumstances. Inspired from O. Henry's ""The Last Leaf""  Lootera is the uplifting story of two lovers. Of heartbreak  betrayal... and ultimate redemption.",An aristocrat's daughter falls in love with a visiting archaeologist  but he holds a secret that could drive them apart.,,Ranveer Singh|Sonakshi Sinha|Barun Chanda|Adil Hussain|Vikrant Massey|Dibyendu Bhattacharya|Arif Zakaria|Pratap Jaiswal|Shirin Guha|Divya Dutta|Palan Kundu|Anirban Basu|Amit Saha|Dhruv Mookerji|,4 wins & 20 nominations,5 July 2013 (India),2013,lootera,lootera,29 Cr
Shaadi Mein Zaroor Aana,tt7469726,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Shaadi_Mein_Zaroor_Aana_-_Movie_Poster.jpg/220px-Shaadi_Mein_Zaroor_Aana_-_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Shaadi_Mein_Zaroor_Aana,Shaadi Mein Zaroor Aana,0,137,Drama|Family|Romance,7.6,10334.0,Satyendra aka Sattu (Rajkummar Rao) and Aarti (Kriti Kharbanda) meet for a proposed arranged marriage and fall in love in the process. On the night of their marriage  an unexpected turn of events turns their world upside down. Set in the backdrop of India's civil services  Shaadi Mein Zaroor Aana explores the challenges that Satyendra and Aarti face as a middle-class couple in India.,Satyendra aka Sattu (Rajkummar Rao) and Aarti (Kriti Kharbanda) meet for a proposed arranged marriage and fall in love in the process. On the night of their marriage  an unexpected turn of ...,,Rajkummar Rao|Kriti Kharbanda|K.K. Raina|Alka Amin|Vipin Sharma|Govind Namdev|Navni Parihar|Nayani Dixit|Manoj Pahwa|Neha d Bhriguvanshi|Karanvir Sharma|Abhijeet Singh|Ashish Kapoor|,2 wins,10 November 2017 (India),2017,shaadi mein zaroor aana,shaadi mein zaroor aana,11.14 Cr
Mumbhai Connection,tt1826763,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Mumbhai_Connection_Poster_1.jpg/220px-Mumbhai_Connection_Poster_1.jpg,https://en.wikipedia.org/wiki/Mumbhai_Connection,Mumbhai Connection,0,90,Comedy|Crime|Thriller,5.4,22.0,An Indian salesman  Faisal  joins an Atlanta IT company only to learn that it is run by the Mumbai mafia. Worse  he is forced to sell IT services to the Atlanta mafia. Even worse  they are not buying! Now Faisal's life is on the line and the only way he can get out alive is by going boldly where no salesman has gone before.,An Indian salesman  Faisal  joins an Atlanta IT company only to learn that it is run by the Mumbai mafia. Worse  he is forced to sell IT services to the Atlanta mafia. Even worse  they are ...,,Alieesa P Badresia|Rafiq Batcha|Chrissy Chambers|Cru Jones|Dick Mays|Joe O'Shea|David Peirce|Suresh Sheregar|,,2013 (India),2011,mumbhai connection,mumbhai connection,
Golmaal Again,tt1806913,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Ajay_Devgn%27s_Golmaal_Again_poster.jpg/220px-Ajay_Devgn%27s_Golmaal_Again_poster.jpg,https://en.wikipedia.org/wiki/Golmaal_Again,Golmaal Again,0,140,Action|Comedy|Fantasy,4.9,7330.0,Gopal Laxman1 Madhav Lucky and Laxman 2 live in orphanage of Jamnadas.One day they come across an abandoned baby outside the orphanage and name her Kushi.Gopal and Mahadav don't get well with each other and often have fights.Gopal leaves the orphanage with Laxman 1 and Madhav also leaves with Lucky and Laxman 2.Years later they have grown up an earn good by doing con jobs and send a share to Jamnadas's orphanage.One day they come to know that Jamnadas is no more and they go to attend his prayer meeting.Anna their childhood friend who can communicate with spirits meets them at a prayer meeting.While the 5 boys leave the orphanage after the prayer meeting a strange figure follows them.Anna is sure the boys will come back in orphanage as the strange figure wants their help.,The gang encounters with some spiritual bodies and finds out the truth about the Jamnadas Orphanage where they were brought up.,This Diwali| No Logic Only Magic!,Ajay Devgn|Arshad Warsi|Tusshar Kapoor|Shreyas Talpade|Kunal Khemu|Parineeti Chopra|Tabu|Neil Nitin Mukesh|Prakash Raj|Johnny Lever|Sanjay Mishra|Mukesh Tiwari|Uday Tikekar|Vrajesh Hirjee|,4 wins & 7 nominations,20 October 2017 (USA),2017,golmaal again,golmaal again,205.69 Cr
Kaashi in Search of Ganga,tt7274806,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Kaashi_in_Search_of_Ganga.jpg/220px-Kaashi_in_Search_of_Ganga.jpg,https://en.wikipedia.org/wiki/Kaashi_in_Search_of_Ganga,Kaashi in Search of Ganga,0,125,Thriller,5.6,201.0,The movie is about two siblings  Kashi (Sharman Joshi) and his sister Ganga. The film is set in the Indian city of Benaras  also known as Kashi.[9] Kashi is a man who belongs to a community who are involved in performing cremation rituals.,The movie is about two siblings  Kashi (Sharman Joshi) and his sister Ganga. The film is set in the Indian city of Benaras  also known as Kashi.[9] Kashi is a man who belongs to a community who are involved in performing cremation rituals.,,Aishwarya Devan|Kranti Prakash Jha|Manoj Joshi|Sharman Joshi|Shahnawaz Khan|Zara Khan|Mugdha Meharia|Akhilendra Mishra|Govind Namdeo|Manoj Pahwa|Gauri Shankar|Priyanka Singh|Mehul Surana|Joginder Tiwari|,,26 October 2018 (India),2018,kaashi in search of ganga,kaashi in search of ganga,0.90 Cr
Aashiqui 2,tt2203308,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Aashiqui_2_%28Poster%29.jpg/220px-Aashiqui_2_%28Poster%29.jpg,https://en.wikipedia.org/wiki/Aashiqui_2,Aashiqui 2,0,132,Drama|Music|Musical,7.0,24878.0,Rahul is a singer  who loses his career due to his drinking habits. He meets Arohi in a bar in Goa  where she works to earn a living. Impressed by her singing  he promises her to take her to Mumbai and make her a star  where they fall in love with each other. Aashiqui 2 is a musical love story of these lovers who goes through love and hate  fame and failure in their lives. However will they stay together accepting their success  or will they breakup due to their ego?,Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.,Love Makes Life Live...,Aditya Roy Kapoor|Shraddha Kapoor|Shaad Randhawa|,47 wins & 24 nominations,26 April 2013 (India),2013,aashiqui 2,aashiqui 2,78.42 Cr
Ladies vs Ricky Bahl,tt1954598,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/LadiesVsRickyBahl2.jpg/220px-LadiesVsRickyBahl2.jpg,https://en.wikipedia.org/wiki/Ladies_vs_Ricky_Bahl,Ladies vs. Ricky Bahl,0,140,Comedy|Drama|Romance,5.9,8069.0,Dimple Chaddha (Parineeti Chopra)  a brash 19 year old Delhi college girl falls in love with Sunny Singh  a fitness trainer. Raina Parulekar (Dipannita Sharma)  a 28 year old independent and successful corporate woman in Mumbai does business with an art dealer Deven Shah. Saira Rashid (Aditi Sharma)  a 24 year old sweet  hard working widow in Lucknow makes a new friend  the shy Iqbal Khan. Three very different girls who each get taken for a lot of money by each of these three men. The problem is that it is actually just one man - Ricky Bahl (Ranveer Singh)  a suave and charming con-man who revels in the game and is only after the Money. A chance encounter brings these three women together who vow to take down Ricky Bahl and get their money back. The next step is the actual plan. Enter Ishika Desai (Anushka Sharma)  a young and ambitious girl whose street smart ways will one day  very soon  get her to the top. The furious trio  one professional con-man and a girl who loves adventure. ...,"A smooth and charming conman  Ricky Bahl  cons girls for a living but finally meets his match is this fun-filled ""ROM-CON.""",,Ranveer Singh|Anushka Sharma|Parineeti Chopra|Dipannita Sharma|Aditi Sharma|,7 wins & 3 nominations,9 December 2011 (India),2011,ladies vs ricky bahl,ladies vs ricky bahl,32.97 Cr
Jhalki,tt7743400,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Jhalki_Movie_Official_Poster.jpg/220px-Jhalki_Movie_Official_Poster.jpg,https://en.wikipedia.org/wiki/Jhalki,Jhalki,0,\N,Drama,,,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey the start of a spiral that will change the lives of thousands for good? What price must she pay to get what she wants? Inspired by true events  with a backdrop of human-trafficking and child-labour  Jhalki becomes an atypical thriller of hope  courage  self-belief and perseverance  seen through the eyes of a 9-year-old girl  who will not stop anywhere short of a triumph.,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey ...,,Boman Irani|Tannishtha Chatterjee|Divya Dutta|Sanjay Suri|Akhilendra Mishra|Govind Namdeo|Yatin Karyekar|Joy Sengupta|Sailesh Dubey|Bachan Pachehra|Sanchita Goswami|Goraksha Sakpal|Vikram Singh|Aarti Jha|,,,2019,jhalki,jhalki,0.06 Cr
Dil Bechara,tt8110330,,https://en.wikipedia.org/wiki/Dil_Bechara,Dil Bechara,0,\N,Drama|Romance,,,A love story about two cancer patients.,A love story about two cancer patients.,,Sushant Singh Rajput|Sanjana Sanghi|Sahil Vaid|,,,2019,dil bechara,dil bechara,
Article 15 (film),tt10324144,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Article_15_Poster.jpg/220px-Article_15_Poster.jpg,https://en.wikipedia.org/wiki/Article_15_(film),Article 15,0,130,Crime|Drama,8.3,13417.0,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,Farq Bahut Kar Liya| Ab Farq Laayenge.,Ayushmann Khurrana|Nassar|Manoj Pahwa|Kumud Mishra|Isha Talwar|Sayani Gupta|Mohammed Zeeshan Ayyub|Subhrajyoti Barat|Sushil Pandey|Aakash Dabhade|Ashish Verma|Ronjini Chakraborty|Veen|Sumbul Touqueer|,1 win,28 June 2019 (USA),2019,article 15,article 15,65.45 Cr
Total Siyapaa,tt2727028,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Total_Siyappa_2014_Indian_film_poster.jpg/220px-Total_Siyappa_2014_Indian_film_poster.jpg,https://en.wikipedia.org/wiki/Total_Siyapaa,Total Siyapaa,0,108,Comedy|Drama|Romance,5.0,2726.0,Settled in London  Aman hopes to marry Asha  an Indian woman also based in London. He visits her parents' house to seek their permission to marry her. However  his plans to impress the family start failing when they discover that he is a Pakistani.,A young musician hopes to marry his beautiful Indian girlfriend  but his plans hit a snag when her family learns he's Pakistani.,,Ali Zafar|Yami Gautam|Anupam Kher|Kiron Kher|Sara Khan|Anuj Pandit|Vic Waghorn|Carol McFadden|Steve Keefe|,,7 March 2014 (USA),2014,total siyapaa,total siyapaa,5.94 Cr
Ramaiya Vastavaiya,tt2357926,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Ramaiya_Vastavaiya.jpg/220px-Ramaiya_Vastavaiya.jpg,https://en.wikipedia.org/wiki/Ramaiya_Vasta_Vaiya,Ramaiya Vastavaiya,0,148,Action|Drama|Romance,5.6,3118.0,Ram ( Girish Kumar) is a rich  city boy  born to billionaire parents and brought up in Australia. On the other hand  Sona ( Shruti Hassan) is a traditional  simple desi girl from Punjab who is brought up by her only brother  Raghuveer ( Sonu Sood). One day  Riya  Sona's best friend  comes to their house to invite Sona to their house as she is getting married. Riya's cousin  Ram also arrives on the same day with his mother  Ashwini ( Poonam Dhillon).,Ram falls in love with Sona  who lives on the fields of Punjab. He follows her to her farm  where her elder brother challenges him to produce more seed on their fields. If he wins  he will be allowed to marry her.,Go Desi Cool July 19th,Shruti Haasan|Girish Taurani|Randhir Kapoor|Sonu Sood|Vinod Khanna|Poonam Dhillon|Satish Shah|Govind Namdeo|Zakir Hussain|Nassar|Anchal Singh|,5 nominations,19 July 2013 (India),2013,ramaiya vastavaiya,ramaiya vastavaiya,36.3 Cr
Photograph (film),tt7778680,https://upload.wikimedia.org/wikipedia/en/7/71/Photograph_%282019_poster%29.png,https://en.wikipedia.org/wiki/Photograph_(film),Photograph,0,110,Drama|Romance,6.9,2391.0,Two lives intersect in Mumbai and go along together. A struggling street photographer  pressured to marry by his grandmother  convinces a shy stranger to pose as his fiancée. The pair develops a connection that transforms them in ways that they could not expect. From Ritesh Batra (The Lunchbox).,A struggling street photographer in Mumbai  pressured to marry by his grandmother  convinces a shy stranger to pose as his fiancée. The pair develop a connection that transforms them in ways they could not expect.,,Nawazuddin Siddiqui|Sanya Malhotra|Sachin Khedekar|Denzil Smith|Brinda Trivedi|Lubna Salim|Rajesh Kumar Sharma|Shihaan Bakshi|Akash Sinha|Seema Pravin Shende|Robin Das|Bhagwan Das Patel|Ashok Pathak|Amarjeet Singh|,,17 May 2019 (USA),2019,photograph,photograph,1.29 Cr
Kahaani,tt1821480,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/KahaaniPoster.jpg/220px-KahaaniPoster.jpg,https://en.wikipedia.org/wiki/Kahaani,Kahaani,0,122,Mystery|Thriller,8.1,53181.0,Kolkata is abuzz with the preparations for the annual Durga Puja festival  as seven months pregnant Vidya Bagchi steps off the airplane from London. Her first stop is the local police station to file a missing person report. Weeks ago  her husband Arnab arrived in India for a job assignment. The first two weeks  they talked daily on the phone  and then without explanation  his calls stopped. Everywhere Vidya turns  no one can remember Arnab. There is no trace of him at the guest house or his workplace. But Vidya will not give up her search. Somewhere in Kolkata she will discover the dangerous truth.,A pregnant woman's search for her missing husband takes her from London to Kolkata  but everyone she questions denies having ever met him.,A mother of a story,Vidya Balan|Parambrata Chattopadhyay|Indraneil Sengupta|Nawazuddin Siddiqui|Dhritiman Chatterjee|Saswata Chatterjee|Darshan Jariwala|,19 wins & 18 nominations,9 March 2012 (India),2012,kahaani,kahaani,51.55 Cr
Ankhon Dekhi,tt3614516,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Ankhon_Dekhi_%E2%80%93_Poster_1.jpg/220px-Ankhon_Dekhi_%E2%80%93_Poster_1.jpg,https://en.wikipedia.org/wiki/Ankhon_Dekhi,Ankhon Dekhi,0,107,Comedy|Drama,8.0,8672.0,Raje Bauji (Sanjay Mishra) is a man in his late fifties  living out a dreary but eventful life in a small house in old Delhi- where he lives with his extended family. A random incident is going to change his life in a dramatic way- though he does not realize at the moment. Bauji's daughter has been seeing a boy of ill repute. When that fact is revealed to the family  after much deliberation they decide to do the obvious- lock up the girl and go beat the willful boy. It is a funny old journey of this man  this old fool- who is both Lear and the fool.,Ankhon Dekhi centers around Raje Bauji  played by Sanjay Mishra who  after a dramatic incident  decides that he will only believe what he sees with his eyes.,,Sanjay Mishra|Seema Bhargava|Rajat Kapoor|Taranjit Kaur|Maya Sarao|Chandrachoor Rai|Namit Das|Brijendra Kala|Alka Chatwal|Manu Rishi Chadha|Mahesh Sharma|Anil Chaudhary|Manish Karnatak|Dhruv Uday Singh|,5 wins & 6 nominations,21 March 2014 (India),2013,ankhon dekhi,ankhon dekhi,0.74 Cr
Shab (film),tt4287778,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Shab_-_Poster.jpg/220px-Shab_-_Poster.jpg,https://en.wikipedia.org/wiki/Shab_(film),Shab,0,108,Drama|Romance,4.4,196.0,This film is about lives of people who live on the edge of what society finds acceptable. It is about coming to terms with oneself and accepting other people as they are. The film is set in the cosmopolitan city of Delhi where people from all over the country come to fulfill their dreams. For some  these dreams are realized  while others remain in an endless pursuit of other elusive dreams. Perhaps it is the hope of ultimately reaching that destination that keeps one going. And then there are others who surrender to the overwhelming power of the city of dreams and get lost in the maze. This film is the story of a coffee shop girl Raina and the man who loves her- Azfar  an aspiring model.,Shab is a story that revolves around multiple characters' search for happiness and love in a complex  unforgiving  and cold city.,,Ashish Bisht|Simon Frenay|Areesz Ganddi|Gaurav Nanda|Arpita Pal|Raj Suri|Sanjay Suri|Raveena Tandon|,,14 July 2017 (India),2017,shab,shab,0.21 Cr
Omerta (film),tt6978268,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Omerta_film.jpg/220px-Omerta_film.jpg,https://en.wikipedia.org/wiki/Omerta_(film),Omerta,0,98,Action|Biography|Crime,7.0,660.0,A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh  who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.,A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh  who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.,A Brief History of Terrorism,Rajkummar Rao|Rajesh Tailang|Satwant Kaur|,2 nominations,4 May 2018 (India),2017,omerta,omerta,3.56 Cr
